Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,2.5,4.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
cross-doc,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
cross-doc,Latency (s),3.378,3.856,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,878.5,1428.0,Flat RAG thường rẻ/nhanh hơn.
factoid,Comprehensiveness,4.5,4.0,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
factoid,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
factoid,Latency (s),4.05,3.847,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,646.0,610.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,3.5,5.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
multi-hop,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,3.5,5.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
multi-hop,Latency (s),3.197,3.421,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,770.0,794.5,Flat RAG thường rẻ/nhanh hơn.
